2555601710.888,RD_IN,14,0,0,0,32,5
2555602019.016,RD_IN,14,0,0,142606328,8,5
2555620182.172,RD_IN,14,0,0,0,32,5
2555623386.550,RD_IN,14,0,0,32,64,5
2584586538.540,RD_IN,14,0,0,0,32,5
2584586716.071,RD_IN,14,0,0,142606328,8,5
2584586921.251,RD_IN,14,0,0,0,32,5
2584587583.486,RD_IN,14,0,0,32,64,5
3025793639.140,RD_IN,14,0,0,0,32,5
3025793794.711,RD_IN,14,0,0,142606328,8,5
3025793984.106,RD_IN,14,0,0,0,32,5
3025794582.406,RD_IN,14,0,0,32,64,5
3044935329.320,RD_IN,14,0,0,0,32,5
3044935495.555,RD_IN,14,0,0,142606328,8,5
3044935683.080,RD_IN,14,0,0,0,32,5
3044936269.555,RD_IN,14,0,0,32,64,5
3056761901.100,RD_IN,14,0,0,0,32,5
3056762105.205,RD_IN,14,0,0,142606328,8,5
3056762340.930,RD_IN,14,0,0,0,32,5
3056763039.315,RD_IN,14,0,0,32,64,5
3060054420.500,RD_IN,14,0,0,0,32,5
3060054574.920,RD_IN,14,0,0,142606328,8,5
3060054759.285,RD_IN,14,0,0,0,32,5
3060055351.680,RD_IN,14,0,0,32,64,5
